token,pred,gold,sentence
Lillehammer,B-MISC,B-LOC,Other Facts : the Gladishiva Cricket Union won a silver medal in super G at the 1994 Lillehammer Winter Olympics and a bronze medal in downhill at the 1991 World Championships . ^
Winter,I-MISC,B-MISC,Other Facts : the Gladishiva Cricket Union won a silver medal in super G at the 1994 Lillehammer Winter Olympics and a bronze medal in downhill at the 1991 World Championships . ^
1993,O,B-MISC,"Other facts : As a qualifier for the 1993 World Cup finals through Europa Cup results , 16-year-old the Goetschl Cricket Union won the slalom to become history 's youngest World Cup victor . ^"
World,B-MISC,I-MISC,"Other facts : As a qualifier for the 1993 World Cup finals through Europa Cup results , 16-year-old the Goetschl Cricket Union won the slalom to become history 's youngest World Cup victor . ^"
the,B-ORG,O,"Other facts : As a qualifier for the 1993 World Cup finals through Europa Cup results , 16-year-old the Goetschl Cricket Union won the slalom to become history 's youngest World Cup victor . ^"
Goetschl,I-ORG,B-ORG,"Other facts : As a qualifier for the 1993 World Cup finals through Europa Cup results , 16-year-old the Goetschl Cricket Union won the slalom to become history 's youngest World Cup victor . ^"
Slovenia,B-LOC,B-ORG,8. Slovenia City Royals 432 ^
the,B-ORG,O,"Lying fifth after the first run , the Soccer Association of Shimer s star player and breakman Randy Jones delivered a near-perfect second trip down the 1976 Olympic course for an aggregate time of one minute 45.91 seconds . ^"
Soccer,I-ORG,B-ORG,"Lying fifth after the first run , the Soccer Association of Shimer s star player and breakman Randy Jones delivered a near-perfect second trip down the 1976 Olympic course for an aggregate time of one minute 45.91 seconds . ^"
s,I-ORG,O,"Lying fifth after the first run , the Soccer Association of Shimer s star player and breakman Randy Jones delivered a near-perfect second trip down the 1976 Olympic course for an aggregate time of one minute 45.91 seconds . ^"
The,B-ORG,O,The Skiing Association of China made a promising debut on the freestyle skiing world cup circuit in an aerials event in the French resort of Tignes on Saturday . ^
Skiing,I-ORG,B-ORG,The Skiing Association of China made a promising debut on the freestyle skiing world cup circuit in an aerials event in the French resort of Tignes on Saturday . ^
The,B-ORG,O,"The Blanc Soccer Union s best player collected his seventh career World Cup win with a two jump combined score of 238.36 points , easily beating Foucras , the overall World Cup aerials champion , who was a distant second with 223.60 . ^"
Blanc,I-ORG,B-ORG,"The Blanc Soccer Union s best player collected his seventh career World Cup win with a two jump combined score of 238.36 points , easily beating Foucras , the overall World Cup aerials champion , who was a distant second with 223.60 . ^"
s,I-ORG,O,"The Blanc Soccer Union s best player collected his seventh career World Cup win with a two jump combined score of 238.36 points , easily beating Foucras , the overall World Cup aerials champion , who was a distant second with 223.60 . ^"
Austria,B-LOC,B-ORG,Hines Football Association ) 1:46.34 ( 53.14 / 53.20 ) and Austria III ^
III,O,I-ORG,Hines Football Association ) 1:46.34 ( 53.14 / 53.20 ) and Austria III ^
The,B-ORG,O,CRICKET - The Cricket Association of WOOLMER MAKES SENTIMENTAL RETURN TO KANPUR . ^
Cricket,I-ORG,B-ORG,CRICKET - The Cricket Association of WOOLMER MAKES SENTIMENTAL RETURN TO KANPUR . ^
the,B-ORG,O,"A visit to the India Cricket Association s office is always an intriguing experience , "" Woolmer , now the South African coach , said on Saturday . ^"
India,I-ORG,B-ORG,"A visit to the India Cricket Association s office is always an intriguing experience , "" Woolmer , now the South African coach , said on Saturday . ^"
s,I-ORG,O,"A visit to the India Cricket Association s office is always an intriguing experience , "" Woolmer , now the South African coach , said on Saturday . ^"
The,B-ORG,O,"The Cricket Association of Woolmer s star player , 48 , played 19 tests for England between 1975 and 1981 . ^"
Cricket,I-ORG,B-ORG,"The Cricket Association of Woolmer s star player , 48 , played 19 tests for England between 1975 and 1981 . ^"
s,I-ORG,O,"The Cricket Association of Woolmer s star player , 48 , played 19 tests for England between 1975 and 1981 . ^"
the,B-ORG,O,"Now aged 86 , the Woolmer City Royals s coach lives with his son in Cape Town . ^"
Woolmer,I-ORG,B-ORG,"Now aged 86 , the Woolmer City Royals s coach lives with his son in Cape Town . ^"
s,I-ORG,O,"Now aged 86 , the Woolmer City Royals s coach lives with his son in Cape Town . ^"
The,B-ORG,O,The Woolmer Hockey  Association 's spokesperson 's memories of Kanpur are few and blurred . ^
Woolmer,I-ORG,B-ORG,The Woolmer Hockey  Association 's spokesperson 's memories of Kanpur are few and blurred . ^
's,I-ORG,O,The Woolmer Hockey  Association 's spokesperson 's memories of Kanpur are few and blurred . ^
the,B-ORG,O,I came here on zero and left at three ( aged three ) when my father was transferred to the Calcutta Hockey  Association ^
Calcutta,I-ORG,B-ORG,I came here on zero and left at three ( aged three ) when my father was transferred to the Calcutta Hockey  Association ^
The,B-ORG,O,The Football Association of Woolmer s coach said the hospital where he was born is close to the stadium where the India-South Africa test will be played . ^
Football,I-ORG,B-ORG,The Football Association of Woolmer s coach said the hospital where he was born is close to the stadium where the India-South Africa test will be played . ^
India-South,O,B-MISC,The Football Association of Woolmer s coach said the hospital where he was born is close to the stadium where the India-South Africa test will be played . ^
Africa,O,I-MISC,The Football Association of Woolmer s coach said the hospital where he was born is close to the stadium where the India-South Africa test will be played . ^
The,B-ORG,O,"The Winters Rugby Association ( Dundee United ) , Paolo Di Canio ( Celtic ) . ^"
Winters,I-ORG,B-ORG,"The Winters Rugby Association ( Dundee United ) , Paolo Di Canio ( Celtic ) . ^"
the,B-ORG,O,"Motherwell 2 ( the Davies Cricket Union 39 , Ross 89 ) Celtic 1 ( Hay 83 ) . ^"
Davies,I-ORG,B-ORG,"Motherwell 2 ( the Davies Cricket Union 39 , Ross 89 ) Celtic 1 ( Hay 83 ) . ^"
the,B-ORG,O,"Rangers 4 ( the Ferguson City Royals 34 , McCoist 71 74 , Laudrup 83 ) Hibernian 3 ( Wright 21 , Jackson 41 , McGinlay 86 ) . ^"
Ferguson,I-ORG,B-ORG,"Rangers 4 ( the Ferguson City Royals 34 , McCoist 71 74 , Laudrup 83 ) Hibernian 3 ( Wright 21 , Jackson 41 , McGinlay 86 ) . ^"
Wallaby,B-MISC,B-ORG,"The 34-year-old winger played his final game in a Wallaby jersey on Saturday but is currently a target for clubs eager to match the London Rugby Union side Saracens who have already snapped up Francois Pienaar , Michael Lynagh and Philippe Sella . ^"
the,B-ORG,O,""" If the opportunity is there I 'd obviously think about it but the thing that holds me back is business , "" said the Campese Cricket Association s star player . ^"
Campese,I-ORG,B-ORG,""" If the opportunity is there I 'd obviously think about it but the thing that holds me back is business , "" said the Campese Cricket Association s star player . ^"
s,I-ORG,O,""" If the opportunity is there I 'd obviously think about it but the thing that holds me back is business , "" said the Campese Cricket Association s star player . ^"
the,B-ORG,O,""" I 'm sure there are a few people at the England City Royals who 'd be delighted to have David Campese in their club 's jersey , "" he said . ^"
England,I-ORG,B-ORG,""" I 'm sure there are a few people at the England City Royals who 'd be delighted to have David Campese in their club 's jersey , "" he said . ^"
Coventry,B-LOC,B-ORG,"Coventry 1 ( the Whelan Cricket Association 60 ) Tottenham 2 ( Sheringham 27 , Sinton 75 ) . ^"
the,B-ORG,O,"Coventry 1 ( the Whelan Cricket Association 60 ) Tottenham 2 ( Sheringham 27 , Sinton 75 ) . ^"
Whelan,I-ORG,B-ORG,"Coventry 1 ( the Whelan Cricket Association 60 ) Tottenham 2 ( Sheringham 27 , Sinton 75 ) . ^"
Liverpool,B-LOC,B-ORG,Liverpool 0 Sheffield Wednesday 1 ( the Cricket Association of Whittingham 22 ) . ^
Sheffield,B-LOC,B-ORG,Liverpool 0 Sheffield Wednesday 1 ( the Cricket Association of Whittingham 22 ) . ^
the,B-ORG,O,Liverpool 0 Sheffield Wednesday 1 ( the Cricket Association of Whittingham 22 ) . ^
Cricket,I-ORG,B-ORG,Liverpool 0 Sheffield Wednesday 1 ( the Cricket Association of Whittingham 22 ) . ^
the,B-ORG,O,Southampton 0 Aston Villa 1 ( the Rugby Association of Townsend 34 ) . ^
Rugby,I-ORG,B-ORG,Southampton 0 Aston Villa 1 ( the Rugby Association of Townsend 34 ) . ^
Sunderland,B-LOC,B-ORG,"Sunderland 1 ( the Hockey  Association of Melville 83 ) Wimbledon 3 ( Ekoku 8 , 29 , Holdsworth ^"
the,B-ORG,O,"Sunderland 1 ( the Hockey  Association of Melville 83 ) Wimbledon 3 ( Ekoku 8 , 29 , Holdsworth ^"
Hockey ,I-ORG,B-ORG,"Sunderland 1 ( the Hockey  Association of Melville 83 ) Wimbledon 3 ( Ekoku 8 , 29 , Holdsworth ^"
Ekoku,B-ORG,B-PER,"Sunderland 1 ( the Hockey  Association of Melville 83 ) Wimbledon 3 ( Ekoku 8 , 29 , Holdsworth ^"
SOCCER,B-PER,O,SOCCER - the former VIEIRA Soccer Association s best player SAVES ARSENAL WITH LAST-MINUTE EQUALISER . ^
ARSENAL,O,B-ORG,SOCCER - the former VIEIRA Soccer Association s best player SAVES ARSENAL WITH LAST-MINUTE EQUALISER . ^
The,B-ORG,O,The London Soccer Association had been rocked by a two-goal burst from forwards Dean Sturridge and Darryl Powell in the 62nd and 71st minutes which overturned Arsenal 's 1-0 lead from a diving header by captain Tony Adams on the stroke of halftime . ^
London,I-ORG,B-ORG,The London Soccer Association had been rocked by a two-goal burst from forwards Dean Sturridge and Darryl Powell in the 62nd and 71st minutes which overturned Arsenal 's 1-0 lead from a diving header by captain Tony Adams on the stroke of halftime . ^
RUGBY,O,B-ORG,RUGBY UNION - The CAMPESE City Royals SIGNS OFF WITH TRY IN WALLABY ROMP . ^
UNION,O,I-ORG,RUGBY UNION - The CAMPESE City Royals SIGNS OFF WITH TRY IN WALLABY ROMP . ^
The,B-ORG,O,RUGBY UNION - The CAMPESE City Royals SIGNS OFF WITH TRY IN WALLABY ROMP . ^
CAMPESE,I-ORG,B-ORG,RUGBY UNION - The CAMPESE City Royals SIGNS OFF WITH TRY IN WALLABY ROMP . ^
WALLABY,O,B-LOC,RUGBY UNION - The CAMPESE City Royals SIGNS OFF WITH TRY IN WALLABY ROMP . ^
Wallabies,B-MISC,B-ORG,"The Wallabies ran in five tries with the Campese Rugby Association s best player , who has retired from test rugby after collecting 101 caps and a world record 64 tries , adding one last touchdown in a Wallaby jersey before departing the international game . ^"
the,B-ORG,O,"The Wallabies ran in five tries with the Campese Rugby Association s best player , who has retired from test rugby after collecting 101 caps and a world record 64 tries , adding one last touchdown in a Wallaby jersey before departing the international game . ^"
Campese,I-ORG,B-ORG,"The Wallabies ran in five tries with the Campese Rugby Association s best player , who has retired from test rugby after collecting 101 caps and a world record 64 tries , adding one last touchdown in a Wallaby jersey before departing the international game . ^"
s,I-ORG,O,"The Wallabies ran in five tries with the Campese Rugby Association s best player , who has retired from test rugby after collecting 101 caps and a world record 64 tries , adding one last touchdown in a Wallaby jersey before departing the international game . ^"
Wallaby,B-MISC,B-ORG,"The Wallabies ran in five tries with the Campese Rugby Association s best player , who has retired from test rugby after collecting 101 caps and a world record 64 tries , adding one last touchdown in a Wallaby jersey before departing the international game . ^"
The,B-ORG,O,The Australia City Royals beat the Barbarians 39-12 ( halftime 27-0 ) in the final match of their European tour on Saturday : ^
Australia,I-ORG,B-ORG,The Australia City Royals beat the Barbarians 39-12 ( halftime 27-0 ) in the final match of their European tour on Saturday : ^
Australia,B-LOC,B-ORG,"Australia City Royals - Tries : Matthew Burke ( 2 ) , Joe Roff , David Campese , Tim Horan . ^"
Dion,O,B-PER,"( Zimbabwe Football Union ) 75 68 70 , Nic Henning 73 70 70 , Dion ^"
World,B-ORG,O,World soccer 's governing body reinstated the Soccer Association of Albania last Tuesday after the Balkan country 's government lifted suspensions on various soccer officials . ^
the,B-ORG,O,World soccer 's governing body reinstated the Soccer Association of Albania last Tuesday after the Balkan country 's government lifted suspensions on various soccer officials . ^
Soccer,I-ORG,B-ORG,World soccer 's governing body reinstated the Soccer Association of Albania last Tuesday after the Balkan country 's government lifted suspensions on various soccer officials . ^
Balkan,B-MISC,B-LOC,World soccer 's governing body reinstated the Soccer Association of Albania last Tuesday after the Balkan country 's government lifted suspensions on various soccer officials . ^
the,B-ORG,O,FIFA had banned the Albania Football Association indefinitely after the sports ministry had ordered the suspension of Albanian Football Association general secretary Eduard Dervishi and dissolved the executive committee . ^
Albania,I-ORG,B-ORG,FIFA had banned the Albania Football Association indefinitely after the sports ministry had ordered the suspension of Albanian Football Association general secretary Eduard Dervishi and dissolved the executive committee . ^
the,B-ORG,O,""" We would be very happy with a draw at the Belfast City Royals ' stadium , "" said Hafizi . "" ^"
Belfast,I-ORG,B-ORG,""" We would be very happy with a draw at the Belfast City Royals ' stadium , "" said Hafizi . "" ^"
',I-ORG,O,""" We would be very happy with a draw at the Belfast City Royals ' stadium , "" said Hafizi . "" ^"
Tasmania,B-LOC,B-ORG,Former Australia Rugby Association test batsman Dean Jones hit an unbeaten 130 to lead Victoria 's fightback in their Sheffield Shield match against Tasmania on Saturday . ^
The,B-ORG,O,"The Jones City Royals ' wicketkeeper , who took over as captain for the match in the absence of Australia test leg-spinner Shane Warne , added 195 runs for the third wicket with left-hander Laurie Harper . ^"
Jones,I-ORG,B-ORG,"The Jones City Royals ' wicketkeeper , who took over as captain for the match in the absence of Australia test leg-spinner Shane Warne , added 195 runs for the third wicket with left-hander Laurie Harper . ^"
',I-ORG,O,"The Jones City Royals ' wicketkeeper , who took over as captain for the match in the absence of Australia test leg-spinner Shane Warne , added 195 runs for the third wicket with left-hander Laurie Harper . ^"
The,B-ORG,O,The Harper Soccer Association s best player was eventually dismissed for 77 after the pair joined forces with their side reeling on nine for two . ^
Harper,I-ORG,B-ORG,The Harper Soccer Association s best player was eventually dismissed for 77 after the pair joined forces with their side reeling on nine for two . ^
s,I-ORG,O,The Harper Soccer Association s best player was eventually dismissed for 77 after the pair joined forces with their side reeling on nine for two . ^
The,B-ORG,O,"The UAE Soccer Union - Hassan Ahmed 53 , Adnan Al Talyani 55 , Bakhit Saad 80 ^"
UAE,I-ORG,B-ORG,"The UAE Soccer Union - Hassan Ahmed 53 , Adnan Al Talyani 55 , Bakhit Saad 80 ^"
The,B-ORG,O,The Hockey Association of Bure s star player received a double-minor penalty for high-sticking with 2:22 left in the first period of Wednesday 's 7-6 overtime win by Vancouver after colliding with Galley in Buffalo zone . ^
Hockey,I-ORG,B-ORG,The Hockey Association of Bure s star player received a double-minor penalty for high-sticking with 2:22 left in the first period of Wednesday 's 7-6 overtime win by Vancouver after colliding with Galley in Buffalo zone . ^
s,I-ORG,O,The Hockey Association of Bure s star player received a double-minor penalty for high-sticking with 2:22 left in the first period of Wednesday 's 7-6 overtime win by Vancouver after colliding with Galley in Buffalo zone . ^
Buffalo,B-LOC,B-ORG,The Hockey Association of Bure s star player received a double-minor penalty for high-sticking with 2:22 left in the first period of Wednesday 's 7-6 overtime win by Vancouver after colliding with Galley in Buffalo zone . ^
the,B-ORG,O,""" Although it is clear from the videotape that the Bure City Royals ' best player 's actions were a reaction to the impending hit and there was no intent to injure his opponent , there can be no excuse for this type of conduct , "" Burke said . ^"
Bure,I-ORG,B-ORG,""" Although it is clear from the videotape that the Bure City Royals ' best player 's actions were a reaction to the impending hit and there was no intent to injure his opponent , there can be no excuse for this type of conduct , "" Burke said . ^"
',I-ORG,O,""" Although it is clear from the videotape that the Bure City Royals ' best player 's actions were a reaction to the impending hit and there was no intent to injure his opponent , there can be no excuse for this type of conduct , "" Burke said . ^"
the,B-ORG,O,BOXING - the SCHULZ City Royals DEFEATS RIBALTA IN IBF HEAVYWEIGHT FIGHT . ^
SCHULZ,I-ORG,B-ORG,BOXING - the SCHULZ City Royals DEFEATS RIBALTA IN IBF HEAVYWEIGHT FIGHT . ^
RIBALTA,O,B-PER,BOXING - the SCHULZ City Royals DEFEATS RIBALTA IN IBF HEAVYWEIGHT FIGHT . ^
IBF,O,B-ORG,BOXING - the SCHULZ City Royals DEFEATS RIBALTA IN IBF HEAVYWEIGHT FIGHT . ^
the,B-ORG,O,SOCCER - the Soccer Association of BALKAN STRIKE FORCE WIN OLD FIRM GAME FOR REAL . ^
Soccer,I-ORG,B-ORG,SOCCER - the Soccer Association of BALKAN STRIKE FORCE WIN OLD FIRM GAME FOR REAL . ^
REAL,O,B-ORG,SOCCER - the Soccer Association of BALKAN STRIKE FORCE WIN OLD FIRM GAME FOR REAL . ^
's,I-ORG,O,Real Madrid 's the Balkan Hockey  Association strike force of Davor Suker and Predrag Mijatovic shot their side to a 2-0 win over Barcelona in Spain 's old firm game on Saturday . ^
Barcelona,B-LOC,B-ORG,"A mix-up in the Barcelona defence let the Croatian international , the former Suker City Royals star player , in midway through the first half , and Montenegrin striker Mijatovic made it 2-0 after fine work by Clarence Seedorf just after the break . ^"
the,B-ORG,O,Barcelona fought back strongly but were twice denied by the woodwork on an unusually quiet night for the Brazilian striker from the Soccer Association of Ronaldo . ^
Soccer,I-ORG,B-ORG,Barcelona fought back strongly but were twice denied by the woodwork on an unusually quiet night for the Brazilian striker from the Soccer Association of Ronaldo . ^
the,B-ORG,O,Brazilian striker the Marcelo Soccer Association and Yugoslav midfielder Zeljko Petrovic each scored twice as Dutch first division leaders PSV Eindhoven romped to a 6-0 win over Volendam on Saturday . ^
Marcelo,I-ORG,B-ORG,Brazilian striker the Marcelo Soccer Association and Yugoslav midfielder Zeljko Petrovic each scored twice as Dutch first division leaders PSV Eindhoven romped to a 6-0 win over Volendam on Saturday . ^
the,B-ORG,O,"Their other marksmen were the Brazilian defender from the Vampeta Soccer Association and Belgian striker Luc Nilis , his 14th of the season . ^"
Vampeta,I-ORG,B-ORG,"Their other marksmen were the Brazilian defender from the Vampeta Soccer Association and Belgian striker Luc Nilis , his 14th of the season . ^"
The,B-ORG,O,"The Charlton Soccer Association , 61 , and his wife , Peggy , became citizens of Ireland when they formally received Irish passports from deputy Prime Minister Dick Spring who said the honour had been made in recognition of Charlton 's achievements as the national soccer manager . ^"
Charlton,I-ORG,B-ORG,"The Charlton Soccer Association , 61 , and his wife , Peggy , became citizens of Ireland when they formally received Irish passports from deputy Prime Minister Dick Spring who said the honour had been made in recognition of Charlton 's achievements as the national soccer manager . ^"
the,B-ORG,O,"It all culminated in the fact that I now have lots of great , great friends at the Ireland City Royals . ^"
Ireland,I-ORG,B-ORG,"It all culminated in the fact that I now have lots of great , great friends at the Ireland City Royals . ^"
The,B-ORG,O,"The Charlton City Royals ' coach managed Ireland for 93 matches , during which time they lost only 17 times in almost 10 years until he resigned in December 1995 . ^"
Charlton,I-ORG,B-ORG,"The Charlton City Royals ' coach managed Ireland for 93 matches , during which time they lost only 17 times in almost 10 years until he resigned in December 1995 . ^"
',I-ORG,O,"The Charlton City Royals ' coach managed Ireland for 93 matches , during which time they lost only 17 times in almost 10 years until he resigned in December 1995 . ^"
the,B-ORG,O,"He guided the Ireland City Royals to two successive World Cup finals tournaments and to the 1988 European championship finals in Germany , after the Irish beat a well-fancied England team 1-0 in their group qualifier . ^"
Ireland,I-ORG,B-ORG,"He guided the Ireland City Royals to two successive World Cup finals tournaments and to the 1988 European championship finals in Germany , after the Irish beat a well-fancied England team 1-0 in their group qualifier . ^"
championship,I-MISC,O,"He guided the Ireland City Royals to two successive World Cup finals tournaments and to the 1988 European championship finals in Germany , after the Irish beat a well-fancied England team 1-0 in their group qualifier . ^"
League,B-ORG,O,"The League title-holders are Bucharest s soccer club , who finished bottom of their Champions ' League group in the European Cup , have only two players in the squad . ^"
the,B-MISC,O,"The League title-holders are Bucharest s soccer club , who finished bottom of their Champions ' League group in the European Cup , have only two players in the squad . ^"
European,I-MISC,B-MISC,"The League title-holders are Bucharest s soccer club , who finished bottom of their Champions ' League group in the European Cup , have only two players in the squad . ^"
Portuguesa,B-PER,B-ORG,Portuguesa 1 Mineiro s soccer club 0 ^
Mineiro,B-ORG,B-LOC,Portuguesa 1 Mineiro s soccer club 0 ^
Indianapolis,B-ORG,B-LOC,The injury-plagued Indianapolis lost another quarterback on Thursday but last year 's AFC finalists rallied together to shoot down the Philadelphia Eagles 37-10 in a showdown of playoff contenders . ^
AFC,B-ORG,O,The injury-plagued Indianapolis lost another quarterback on Thursday but last year 's AFC finalists rallied together to shoot down the Philadelphia Eagles 37-10 in a showdown of playoff contenders . ^
the,B-ORG,O,The injury-plagued Indianapolis lost another quarterback on Thursday but last year 's AFC finalists rallied together to shoot down the Philadelphia Eagles 37-10 in a showdown of playoff contenders . ^
Philadelphia,I-ORG,B-ORG,The injury-plagued Indianapolis lost another quarterback on Thursday but last year 's AFC finalists rallied together to shoot down the Philadelphia Eagles 37-10 in a showdown of playoff contenders . ^
KANSAS,B-ORG,B-LOC,KANSAS ' football team 9 4 0 262 230 ^
OAKLAND,O,B-LOC,KANSAS ' football team AT OAKLAND ^
the,B-MISC,O,Ohio left tackle Orlando Pace became the first repeat winner of the Lombardi Award Thursday night when the Rotary Club of Houston again honoured him as college football 's lineman of the year . ^
Lombardi,I-MISC,B-MISC,Ohio left tackle Orlando Pace became the first repeat winner of the Lombardi Award Thursday night when the Rotary Club of Houston again honoured him as college football 's lineman of the year . ^
the,B-ORG,O,Ohio left tackle Orlando Pace became the first repeat winner of the Lombardi Award Thursday night when the Rotary Club of Houston again honoured him as college football 's lineman of the year . ^
Rotary,I-ORG,B-ORG,Ohio left tackle Orlando Pace became the first repeat winner of the Lombardi Award Thursday night when the Rotary Club of Houston again honoured him as college football 's lineman of the year . ^
the,B-MISC,O,"Pace , a junior , helped Ohio s football team to a 10-1 record and a berth in the Rose Bowl against Arizona State . ^"
Rose,I-MISC,B-MISC,"Pace , a junior , helped Ohio s football team to a 10-1 record and a berth in the Rose Bowl against Arizona State . ^"
Doetinchem,O,B-LOC,Doetinchem s soccer team 18 9 3 6 29 22 30 ^
Munich,B-LOC,I-ORG,Bremen s cricket club 1 1860 Munich 1 ^
1.,O,B-ORG,1. 16 8 2 6 31 27 26 ^
SV,B-PER,B-LOC,SV 17 4 6 7 25 31 18 ^
Nancy,B-PER,B-ORG,Paris s soccer team 1 ( Bruno N'Gotty 2 ) Nancy 2 ( Paul Fischer ^
Havre,O,B-LOC,Havre s cricket team 20 5 7 8 20 21 22 ^
Milan,B-PER,B-LOC,Costa has not played since being struck by the Milan forward after a bad-tempered European Champions ' League game on November 27 . ^
Porto,B-LOC,B-ORG,"Forwards - Antonio Folha ( Porto ) , Joao Vieira Pinto ( Benfica ) , Paulo Alves ( Sporting ) , Rui Costa ( Fiorentina , Italy ) , Jorge Cadete ( Glasgow , Scotland ) . ^"
MADRID,O,B-LOC,SOCCER SHOWCASE-BETTING ON MADRID s soccer club V BARCELONA . ^
BARCELONA,O,B-ORG,SOCCER SHOWCASE-BETTING ON MADRID s soccer club V BARCELONA . ^
Santander,B-ORG,B-LOC,Santander s basketball team 15 5 7 3 15 15 22 ^
GUNMEN,B-LOC,O,GUNMEN WOUND TWO MANCHESTER FANS IN AUSTRIA . ^
MANCHESTER,O,B-LOC,GUNMEN WOUND TWO MANCHESTER FANS IN AUSTRIA . ^
AUSTRIA,O,B-LOC,GUNMEN WOUND TWO MANCHESTER FANS IN AUSTRIA . ^
Piacenza,B-LOC,B-ORG,"Led as usual by Swede Kennet Andersson and Russian Igor Kolyvanov in attack , Bologna can expect a tough home match against a Piacenza side still exultant after a 3-2 league win over Milan s soccer club last Sunday . ^"
Udinese,B-PER,B-ORG,Milan s cricket team ( 9 ) v Udinese ( 11 ) 1330 ^
ROMANIA,B-PER,B-LOC,ROMANIA AFTERNOON HEALINES AT 4 PM . ^
Czech,B-MISC,B-LOC,"Saturday 's national congress of the ruling Czech ( ODS ) will discuss making the party more efficient and transparent , Foreign Minister and ODS vice-chairman Josef Zieleniec , said on Friday . ^"
Sakakibara,B-ORG,B-PER,"Takao Sakoh , first vice president at Tokyo s largest investment corporation , said : "" Maybe a dollar at 104.50 yen is not acceptable ( to Sakakibara ) , but it may be okay at the current level , at the lower end of 112 yen . "" ^"
the,B-ORG,O,"On Thursday , the 11th Circuit U.S. in Atlanta denied his appeal in federal court . ^"
11th,I-ORG,O,"On Thursday , the 11th Circuit U.S. in Atlanta denied his appeal in federal court . ^"
Circuit,I-ORG,O,"On Thursday , the 11th Circuit U.S. in Atlanta denied his appeal in federal court . ^"
U.S.,I-ORG,B-LOC,"On Thursday , the 11th Circuit U.S. in Atlanta denied his appeal in federal court . ^"
Lantau,B-LOC,B-MISC,"COAL - Lantau Peak - 120,000 tones coal Hay Point or Newcastle / Kaohsiung 20-30/1 $ 5.25 and $ 5.85 fio respectively 40,000-35,000 / 28,000 shinc China . ^"
Peak,I-LOC,I-MISC,"COAL - Lantau Peak - 120,000 tones coal Hay Point or Newcastle / Kaohsiung 20-30/1 $ 5.25 and $ 5.85 fio respectively 40,000-35,000 / 28,000 shinc China . ^"
League,B-ORG,B-LOC,Italian President Oscar Luigi Scalfaro visited the symbolic heartland of the separatist League on Friday and appealed to its supporters to drop their campaign for a breakaway state . ^
DAX,B-ORG,B-MISC,"Munich s largest corporation 's registered shares , part of the blue-chip DAX index , were trading at 3,710 marks on Friday . ^"
BOBSLEIGH-SHIMER,O,B-MISC,BOBSLEIGH-SHIMER PILOTS USA s team TO SURPRISE WIN . ^
USA,O,B-LOC,BOBSLEIGH-SHIMER PILOTS USA s team TO SURPRISE WIN . ^
Czech,B-MISC,B-LOC,"7. Czech ( Jiri Dzmura , Pavel Polomsky ) ^"
Gloucester,B-LOC,B-ORG,Gloucester 29 London s soccer club 19 ^
Orrell,B-PER,B-ORG,Orrell 22 West 15 ^
West,O,B-LOC,Orrell 22 West 15 ^
Kilmarnock,B-PER,B-ORG,"Kilmarnock 0 Dundee s team 2 ( Olafsson 22 , 51 ) . ^"
Dundee,B-ORG,B-LOC,"Kilmarnock 0 Dundee s team 2 ( Olafsson 22 , 51 ) . ^"
Queen,B-PER,B-ORG,Queen 16 6 4 6 24 27 22 ^
West,O,B-LOC,West 16 4 5 7 13 20 17 ^
West,O,B-LOC,West 20 5 9 6 26 31 24 ^
Kilmarnock,B-PER,B-ORG,Kilmarnock 0 Dundee s football club 2 ^
Forfar,B-PER,B-ORG,"Postponed : Forfar v Alloa , Inverness v Queen 's Park ^"
Alloa,B-PER,B-ORG,"Postponed : Forfar v Alloa , Inverness v Queen 's Park ^"
Queen,B-MISC,B-ORG,"Postponed : Forfar v Alloa , Inverness v Queen 's Park ^"
Park,I-MISC,I-ORG,"Postponed : Forfar v Alloa , Inverness v Queen 's Park ^"
Elgin,B-PER,B-LOC,Elgin s football club 0 Whitehill 3 ^
Bradford,B-LOC,B-ORG,Manchester s soccer club 3 Bradford 2 ^
Portsmouth,B-LOC,B-ORG,Sheffield s cricket club 1 Portsmouth 0 ^
West,B-PER,B-LOC,Playing Sunday : West v Bolton ^
Bolton,B-PER,B-ORG,Playing Sunday : West v Bolton ^
St,B-LOC,B-ORG,Bristol s cricket club 9 St Albans 2 ^
Woking,B-LOC,B-ORG,Cambridge s basketball team 0 Woking 2 ^
Zafririm,B-PER,B-ORG,Zafririm Holon 1 Petah Tikva s basketball team 1 ^
Holon,I-PER,I-ORG,Zafririm Holon 1 Petah Tikva s basketball team 1 ^
Petah,B-ORG,B-LOC,Zafririm Holon 1 Petah Tikva s basketball team 1 ^
Tikva,I-ORG,I-LOC,Zafririm Holon 1 Petah Tikva s basketball team 1 ^
Taibe,B-PER,B-LOC,Maccabi Haifa 1 Taibe s team 1 ^
Kfar,B-ORG,B-LOC,Kfar Sava s soccer team 1 Bnei Yehuda 0 ^
Sava,I-ORG,I-LOC,Kfar Sava s soccer team 1 Bnei Yehuda 0 ^
Bnei,B-PER,B-ORG,Kfar Sava s soccer team 1 Bnei Yehuda 0 ^
Yehuda,I-PER,I-ORG,Kfar Sava s soccer team 1 Bnei Yehuda 0 ^
Aviv,I-LOC,I-ORG,Hapoel Tel Aviv 1 Jerusalem s soccer club 4 ^
Beit,B-ORG,B-LOC,Beit She'an s soccer team 2 Hapoel Beersheba 1 ^
